ETF,变量,均值方程,模型,对数似然,AIC,BIC,参数数
510050 上证50ETF,ΔL_t,AR(1),GARCH-N,-1403.21,2816.43,2846.32,5
510050 上证50ETF,ΔL_t,AR(1),GJR-N,-1399.11,2810.23,2846.1,6
510050 上证50ETF,ΔL_t,AR(1),GARCH-t,-1397.15,2806.29,2842.16,6
510050 上证50ETF,ΔL_t,AR(1),GJR-SkT,-1393.12,2802.24,2850.06,8
510050 上证50ETF,R_t,Const,GARCH-N,-4561.88,9131.77,9155.68,4
510050 上证50ETF,R_t,Const,GJR-N,-4561.88,9133.76,9163.65,5
510050 上证50ETF,R_t,Const,GARCH-t,-4432.2,8874.41,8904.3,5
510050 上证50ETF,R_t,Const,GJR-SkT,-4430.56,8875.13,8916.98,7
510180 上证180ETF,ΔL_t,AR(1),GARCH-N,-2045.89,4101.77,4131.66,5
510180 上证180ETF,ΔL_t,AR(1),GJR-N,-2042.81,4097.62,4133.48,6
510180 上证180ETF,ΔL_t,AR(1),GARCH-t,-2042.27,4096.53,4132.4,6
510180 上证180ETF,ΔL_t,AR(1),GJR-SkT,-2032.41,4080.82,4128.64,8
510180 上证180ETF,R_t,Const,GARCH-N,-4456.42,8920.84,8944.76,4
510180 上证180ETF,R_t,Const,GJR-N,-4456.42,8922.84,8952.73,5
510180 上证180ETF,R_t,Const,GARCH-t,-4318.49,8646.97,8676.86,5
510180 上证180ETF,R_t,Const,GJR-SkT,-4318.25,8650.5,8692.34,7
510300 沪深300ETF,ΔL_t,AR(1),GARCH-N,-1578.14,3166.27,3196.16,5
510300 沪深300ETF,ΔL_t,AR(1),GJR-N,-1567.5,3147.01,3182.87,6
510300 沪深300ETF,ΔL_t,AR(1),GARCH-t,-1577.99,3167.98,3203.85,6
510300 沪深300ETF,ΔL_t,AR(1),GJR-SkT,-1565.88,3147.75,3195.57,8
510300 沪深300ETF,R_t,Const,GARCH-N,-4576.82,9161.64,9185.55,4
510300 沪深300ETF,R_t,Const,GJR-N,-4576.82,9163.63,9193.53,5
510300 沪深300ETF,R_t,Const,GARCH-t,-4455.27,8920.53,8950.43,5
510300 沪深300ETF,R_t,Const,GJR-SkT,-4455.17,8924.34,8966.19,7
510500 中证500ETF,ΔL_t,AR(1),GARCH-N,-2070.13,4150.25,4180.14,5
510500 中证500ETF,ΔL_t,AR(1),GJR-N,-2069.49,4150.98,4186.85,6
510500 中证500ETF,ΔL_t,AR(1),GARCH-t,-2048.09,4108.17,4144.04,6
510500 中证500ETF,ΔL_t,AR(1),GJR-SkT,-2040.74,4097.48,4145.3,8
510500 中证500ETF,R_t,Const,GARCH-N,-5039.61,10087.22,10111.13,4
510500 中证500ETF,R_t,Const,GJR-N,-5036.18,10082.35,10112.24,5
510500 中证500ETF,R_t,Const,GARCH-t,-4898.73,9807.47,9837.35,5
510500 中证500ETF,R_t,Const,GJR-SkT,-4878.63,9771.27,9813.11,7
159915 创业板ETF,ΔL_t,AR(1),GARCH-N,-1144.55,2299.1,2328.99,5
159915 创业板ETF,ΔL_t,AR(1),GJR-N,-1144.54,2301.09,2336.95,6
159915 创业板ETF,ΔL_t,AR(1),GARCH-t,-1140.22,2292.44,2328.3,6
159915 创业板ETF,ΔL_t,AR(1),GJR-SkT,-1138.86,2293.73,2341.55,8
159915 创业板ETF,R_t,Const,GARCH-N,-5727.1,11462.19,11486.1,4
159915 创业板ETF,R_t,Const,GJR-N,-5725.5,11461.01,11490.9,5
159915 创业板ETF,R_t,Const,GARCH-t,-5644.44,11298.89,11328.78,5
159915 创业板ETF,R_t,Const,GJR-SkT,-5643.87,11301.73,11343.58,7
513050 中概互联ETF,ΔL_t,AR(1),GARCH-N,-1303.08,2616.16,2644.58,5
513050 中概互联ETF,ΔL_t,AR(1),GJR-N,-1300.44,2612.89,2646.99,6
513050 中概互联ETF,ΔL_t,AR(1),GARCH-t,-1303.06,2618.11,2652.21,6
513050 中概互联ETF,ΔL_t,AR(1),GJR-SkT,-1300.46,2616.92,2662.39,8
513050 中概互联ETF,R_t,Const,GARCH-N,-4271.85,8551.71,8574.44,4
513050 中概互联ETF,R_t,Const,GJR-N,-4270.65,8551.3,8579.72,5
513050 中概互联ETF,R_t,Const,GARCH-t,-4245.74,8501.49,8529.9,5
513050 中概互联ETF,R_t,Const,GJR-SkT,-4242.49,8498.98,8538.77,7
