ETF,变量,LB(10)_stat,LB(10)_p,LB²(10)_stat,LB²(10)_p,ARCH-LM(5)_stat,ARCH-LM(5)_p,K-S(PIT)_stat,K-S(PIT)_p,PIT均匀?
510050 上证50ETF,ΔL_t,307.6613,0.0,24.4815,0.0064,20.8383,0.0009,0.0138,0.6259,是
510050 上证50ETF,R_t,18.2025,0.0516,8.862,0.5453,7.0097,0.2199,0.0104,0.9048,是
510180 上证180ETF,ΔL_t,278.1321,0.0,17.3822,0.0663,14.2628,0.014,0.0124,0.7527,是
510180 上证180ETF,R_t,18.9744,0.0406,5.7321,0.8372,4.5714,0.4704,0.0103,0.9141,是
510300 沪深300ETF,ΔL_t,329.6356,0.0,8.2675,0.6027,2.6298,0.7568,0.0168,0.3795,是
510300 沪深300ETF,R_t,18.0239,0.0546,5.8784,0.8254,4.3069,0.5061,0.0128,0.7183,是
510500 中证500ETF,ΔL_t,288.7722,0.0,23.1919,0.0101,15.0376,0.0102,0.0097,0.9442,是
510500 中证500ETF,R_t,11.7171,0.3044,5.6132,0.8466,1.8282,0.8724,0.0147,0.5517,是
159915 创业板ETF,ΔL_t,304.6525,0.0,45.4505,0.0,35.7898,0.0,0.008,0.9913,是
159915 创业板ETF,R_t,9.4742,0.4878,9.4213,0.4926,5.8176,0.3244,0.0123,0.7659,是
513050 中概互联ETF,ΔL_t,218.5571,0.0,17.6895,0.0604,12.2142,0.032,0.0127,0.8716,是
513050 中概互联ETF,R_t,6.5899,0.7635,3.0597,0.98,2.1379,0.8298,0.0189,0.4164,是
