ETF,模型,参数,对数似然,k,AIC,BIC
510050 上证50ETF,Gumbel,{'theta': np.float64(1.0)},-0.0,1,2.0,7.98
510050 上证50ETF,Clayton,{'theta': np.float64(0.1759)},41.34,1,-80.68,-74.7
510050 上证50ETF,Frank,{'theta': np.float64(0.29)},3.34,1,-4.67,1.31
510050 上证50ETF,Gaussian,{'rho': np.float64(0.0628)},5.75,1,-9.51,-3.53
510050 上证50ETF,Student-t,"{'rho': np.float64(0.0555), 'nu': np.float64(11.6227)}",16.23,2,-28.47,-16.51
510050 上证50ETF,Mixed (G+C+F),"w=(0.00,0.72,0.28); θ=(1.00,0.39,-2.50)",58.07,5,-106.14,-76.25
510180 上证180ETF,Gumbel,{'theta': np.float64(1.0)},0.0,1,2.0,7.98
510180 上证180ETF,Clayton,{'theta': np.float64(0.1971)},49.63,1,-97.26,-91.29
510180 上证180ETF,Frank,{'theta': np.float64(0.343)},4.57,1,-7.15,-1.17
510180 上证180ETF,Gaussian,{'rho': np.float64(0.0621)},5.64,1,-9.28,-3.3
510180 上证180ETF,Student-t,"{'rho': np.float64(0.0595), 'nu': np.float64(6.8081)}",34.54,2,-65.09,-53.13
510180 上证180ETF,Mixed (G+C+F),"w=(0.00,0.68,0.32); θ=(1.00,0.53,-2.83)",81.11,5,-152.22,-122.33
510300 沪深300ETF,Gumbel,{'theta': np.float64(1.0)},-0.0,1,2.0,7.98
510300 沪深300ETF,Clayton,{'theta': np.float64(0.183)},43.77,1,-85.54,-79.56
510300 沪深300ETF,Frank,{'theta': np.float64(0.3769)},5.62,1,-9.25,-3.27
510300 沪深300ETF,Gaussian,{'rho': np.float64(0.073)},7.78,1,-13.57,-7.59
510300 沪深300ETF,Student-t,"{'rho': np.float64(0.0674), 'nu': np.float64(9.9246)}",21.37,2,-38.73,-26.78
510300 沪深300ETF,Mixed (G+C+F),"w=(0.00,0.67,0.33); θ=(1.00,0.46,-2.08)",62.01,5,-114.02,-84.13
510500 中证500ETF,Gumbel,{'theta': np.float64(1.0185)},1.2,1,-0.39,5.58
510500 中证500ETF,Clayton,{'theta': np.float64(0.2122)},55.97,1,-109.93,-103.96
510500 中证500ETF,Frank,{'theta': np.float64(0.5666)},12.89,1,-23.78,-17.8
510500 中证500ETF,Gaussian,{'rho': np.float64(0.1088)},17.33,1,-32.65,-26.68
510500 中证500ETF,Student-t,"{'rho': np.float64(0.1037), 'nu': np.float64(15.0546)}",24.25,2,-44.5,-32.55
510500 中证500ETF,Mixed (G+C+F),"w=(0.00,0.82,0.18); θ=(1.15,0.34,-2.29)",62.22,5,-114.44,-84.55
159915 创业板ETF,Gumbel,{'theta': np.float64(1.0183)},1.22,1,-0.44,5.54
159915 创业板ETF,Clayton,{'theta': np.float64(0.2801)},89.74,1,-177.47,-171.5
159915 创业板ETF,Frank,{'theta': np.float64(0.7019)},19.37,1,-36.73,-30.76
159915 创业板ETF,Gaussian,{'rho': np.float64(0.1298)},24.82,1,-47.64,-41.67
159915 创业板ETF,Student-t,"{'rho': np.float64(0.1236), 'nu': np.float64(10.9778)}",35.73,2,-67.46,-55.5
159915 创业板ETF,Mixed (G+C+F),"w=(0.00,0.85,0.15); θ=(1.00,0.43,-3.52)",100.8,5,-191.6,-161.71
513050 中概互联ETF,Gumbel,{'theta': np.float64(1.0481)},5.9,1,-9.81,-4.12
513050 中概互联ETF,Clayton,{'theta': np.float64(0.1345)},16.06,1,-30.12,-24.43
513050 中概互联ETF,Frank,{'theta': np.float64(0.6652)},12.96,1,-23.92,-18.23
513050 中概互联ETF,Gaussian,{'rho': np.float64(0.0925)},9.31,1,-16.62,-10.93
513050 中概互联ETF,Student-t,"{'rho': np.float64(0.1041), 'nu': np.float64(10.7307)}",17.71,2,-31.43,-20.06
513050 中概互联ETF,Mixed (G+C+F),"w=(0.79,0.11,0.09); θ=(1.00,0.75,8.30)",23.54,5,-37.08,-8.66
