ETF,时段,天数,w_G,w_C,w_F,θ_G,θ_C,λ_U,λ_L,Kendall τ,对数似然
510050 上证50ETF,牛市2014-2015,234,0.0,0.856,0.144,1.0,0.463,0.0,0.1916,0.0402,9.16
510050 上证50ETF,股灾2015-2016,173,0.0,0.904,0.096,1.189,0.586,0.0,0.2769,0.1686,28.1
510050 上证50ETF,震荡2017-2019,731,0.008,0.78,0.212,8.52,0.299,0.0073,0.0769,-0.0069,8.94
510050 上证50ETF,疫情2020,228,0.0,0.74,0.26,74.981,0.22,0.0,0.0316,0.0517,1.51
510050 上证50ETF,中概危机2021-2022,421,0.0,0.818,0.182,1.468,0.235,0.0,0.043,0.0626,7.47
510050 上证50ETF,复苏2023-2025,727,0.0,0.34,0.66,1.0,0.75,0.0,0.135,0.0045,6.87
510180 上证180ETF,牛市2014-2015,234,0.0,0.764,0.236,1.0,0.736,0.0,0.298,0.0603,12.41
510180 上证180ETF,股灾2015-2016,173,0.03,0.509,0.462,12.457,0.539,0.028,0.1405,0.1335,9.71
510180 上证180ETF,震荡2017-2019,731,0.0,0.741,0.259,1.0,0.521,0.0,0.1961,0.0527,19.64
510180 上证180ETF,疫情2020,228,0.0,0.798,0.202,76.082,0.284,0.0,0.0697,-0.0289,3.93
510180 上证180ETF,中概危机2021-2022,421,0.0,0.864,0.136,1.0,0.466,0.0,0.1954,0.0755,21.22
510180 上证180ETF,复苏2023-2025,727,0.005,0.462,0.533,12.198,0.598,0.0046,0.1452,-0.0295,16.35
510300 沪深300ETF,牛市2014-2015,234,0.008,0.6,0.391,122.184,0.967,0.0084,0.2931,-0.0139,17.93
510300 沪深300ETF,股灾2015-2016,173,0.017,0.882,0.101,5.677,0.519,0.0145,0.2322,0.1657,22.81
510300 沪深300ETF,震荡2017-2019,731,0.035,0.414,0.551,6.548,0.607,0.0311,0.1322,0.0117,8.75
510300 沪深300ETF,疫情2020,228,0.0,0.951,0.049,1.0,0.172,0.0,0.0169,0.0315,2.61
510300 沪深300ETF,中概危机2021-2022,421,0.002,0.944,0.054,1.003,0.129,0.0,0.0045,0.0827,4.73
510300 沪深300ETF,复苏2023-2025,727,0.0,0.538,0.462,1.0,0.565,0.0,0.158,0.0468,11.42
510500 中证500ETF,牛市2014-2015,232,0.008,0.917,0.075,18.816,0.356,0.0082,0.1305,0.0828,8.31
510500 中证500ETF,股灾2015-2016,173,0.0,0.935,0.065,1.0,0.26,0.0,0.0648,0.1148,9.61
510500 中证500ETF,震荡2017-2019,731,0.0,0.947,0.053,1.0,0.293,0.0,0.0889,0.0963,15.13
510500 中证500ETF,疫情2020,228,0.0,0.642,0.358,1.0,0.336,0.0,0.0817,-0.0066,2.59
510500 中证500ETF,中概危机2021-2022,421,0.0,0.557,0.443,1.0,0.387,0.0,0.0928,0.0025,4.83
510500 中证500ETF,复苏2023-2025,727,0.0,0.755,0.245,1.0,0.444,0.0,0.1588,0.064,20.32
159915 创业板ETF,牛市2014-2015,234,0.0,0.982,0.018,1.018,0.384,0.0,0.1614,0.106,13.04
159915 创业板ETF,股灾2015-2016,173,0.0,0.93,0.07,1.0,0.479,0.0,0.2186,0.1414,22.51
159915 创业板ETF,震荡2017-2019,731,0.0,0.929,0.071,1.0,0.443,0.0,0.194,0.1109,29.46
159915 创业板ETF,疫情2020,228,0.0,1.0,0.0,1.558,0.168,0.0,0.016,0.0628,3.31
159915 创业板ETF,中概危机2021-2022,420,0.0,0.735,0.265,1.0,0.309,0.0,0.0779,0.014,3.9
159915 创业板ETF,复苏2023-2025,727,0.0,0.622,0.378,1.0,0.569,0.0,0.184,0.0295,15.32
513050 中概互联ETF,震荡2017-2019,717,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.005,1413.62
513050 中概互联ETF,疫情2020,228,0.026,0.248,0.726,5.95,1.536,0.0229,0.1579,0.1168,5.69
513050 中概互联ETF,中概危机2021-2022,421,0.573,0.373,0.054,1.0,0.586,0.0,0.1145,0.0485,5.27
513050 中概互联ETF,复苏2023-2025,727,0.0,0.849,0.151,1.0,0.208,0.0,0.0305,0.1568,29.18
